City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,1.00,1.00,373.00,170.00,1.00,2.00,546.00,1717.00,1369.00,55.00,7.00,49.00,4.00,173.00,60.00,1717.00,1074.00,38.00,503.00,3.00,45.00,0.00,27.00,27.00,3.20,0.41,2.85,0.23,10.08,3.49,29.30,79.73
Boston,1.00,2.00,244.00,90.00,3.00,5.00,342.00,2071.00,1520.00,61.00,3.00,42.00,0.00,351.00,94.00,2071.00,828.00,40.00,1073.00,2.00,42.00,0.00,53.00,33.00,2.95,0.14,2.03,0.00,16.95,4.54,51.81,73.39
Boston,1.00,3.00,538.00,338.00,1.00,4.00,881.00,3179.00,1989.00,278.00,10.00,228.00,0.00,494.00,180.00,3179.00,1275.00,212.00,1314.00,5.00,227.00,0.00,57.00,89.00,8.74,0.31,7.17,0.00,15.54,5.66,41.33,62.57
Boston,1.00,4.00,200.00,124.00,0.00,1.00,325.00,1884.00,1097.00,57.00,12.00,38.00,1.00,555.00,124.00,1884.00,512.00,43.00,1203.00,6.00,37.00,0.00,59.00,24.00,3.03,0.64,2.02,0.05,29.46,6.58,63.85,58.23
Boston,1.00,5.00,259.00,121.00,1.00,3.00,384.00,2888.00,1659.00,77.00,22.00,76.00,5.00,896.00,153.00,2888.00,969.00,47.00,1664.00,1.00,74.00,0.00,93.00,40.00,2.67,0.76,2.63,0.17,31.02,5.30,57.62,57.44
Boston,1.00,6.00,202.00,121.00,0.00,8.00,331.00,2507.00,1488.00,78.00,16.00,61.00,1.00,749.00,114.00,2507.00,807.00,59.00,1479.00,5.00,61.00,0.00,60.00,36.00,3.11,0.64,2.43,0.04,29.88,4.55,58.99,59.35
Boston,1.00,7.00,267.00,111.00,0.00,10.00,388.00,2388.00,1407.00,108.00,11.00,72.00,0.00,652.00,138.00,2388.00,709.00,76.00,1451.00,6.00,72.00,0.00,43.00,31.00,4.52,0.46,3.02,0.00,27.30,5.78,60.76,58.92
Boston,1.00,8.00,253.00,200.00,0.00,6.00,459.00,2902.00,1700.00,119.00,18.00,191.00,0.00,723.00,151.00,2902.00,912.00,76.00,1669.00,5.00,188.00,0.00,8.00,44.00,4.10,0.62,6.58,0.00,24.91,5.20,57.51,58.58
Boston,1.00,9.00,213.00,136.00,1.00,0.00,350.00,2086.00,1387.00,63.00,8.00,41.00,0.00,496.00,91.00,2086.00,734.00,44.00,1216.00,1.00,38.00,0.00,30.00,23.00,3.02,0.38,1.97,0.00,23.78,4.36,58.29,66.49
Boston,1.00,10.00,131.00,83.00,1.00,3.00,218.00,1862.00,1176.00,43.00,8.00,64.00,1.00,473.00,97.00,1862.00,552.00,38.00,1165.00,0.00,62.00,1.00,38.00,6.00,2.31,0.43,3.44,0.05,25.40,5.21,62.57,63.16
Boston,1.00,11.00,239.00,186.00,2.00,7.00,434.00,2722.00,2141.00,79.00,13.00,87.00,2.00,337.00,63.00,2722.00,1610.00,57.00,923.00,0.00,87.00,1.00,19.00,25.00,2.90,0.48,3.20,0.07,12.38,2.31,33.91,78.66
Boston,1.00,12.00,266.00,180.00,2.00,7.00,455.00,1833.00,1516.00,33.00,10.00,49.00,0.00,175.00,50.00,1833.00,1231.00,26.00,476.00,8.00,49.00,0.00,24.00,19.00,1.80,0.55,2.67,0.00,9.55,2.73,25.97,82.71
Boston,1.00,13.00,283.00,257.00,1.00,6.00,547.00,2624.00,1792.00,226.00,10.00,99.00,0.00,392.00,105.00,2624.00,1192.00,178.00,1099.00,5.00,95.00,0.00,28.00,27.00,8.61,0.38,3.77,0.00,14.94,4.00,41.88,68.29
Boston,1.00,14.00,124.00,109.00,0.00,0.00,233.00,820.00,717.00,21.00,1.00,37.00,1.00,29.00,14.00,820.00,613.00,16.00,145.00,0.00,36.00,1.00,1.00,8.00,2.56,0.12,4.51,0.12,3.54,1.71,17.68,87.44
Boston,1.00,15.00,1.00,0.00,0.00,0.00,1.00,530.00,208.00,217.00,2.00,7.00,1.00,78.00,17.00,530.00,165.00,204.00,130.00,2.00,7.00,1.00,13.00,8.00,40.94,0.38,1.32,0.19,14.72,3.21,24.53,39.25
Boston,2.00,1.00,497.00,351.00,4.00,14.00,866.00,1690.00,1606.00,11.00,0.00,51.00,1.00,15.00,6.00,1690.00,1586.00,9.00,36.00,0.00,51.00,1.00,1.00,6.00,0.65,0.00,3.02,0.06,0.89,0.36,2.13,95.03
Boston,2.00,2.00,534.00,381.00,3.00,24.00,942.00,3716.00,2422.00,367.00,11.00,602.00,7.00,220.00,87.00,3716.00,2182.00,309.00,540.00,5.00,601.00,7.00,22.00,50.00,9.88,0.30,16.20,0.19,5.92,2.34,14.53,65.18
Boston,2.00,3.00,375.00,231.00,1.00,2.00,609.00,1652.00,1594.00,7.00,3.00,24.00,0.00,6.00,18.00,1652.00,1576.00,7.00,27.00,3.00,23.00,0.00,1.00,15.00,0.42,0.18,1.45,0.00,0.36,1.09,1.63,96.49
Boston,2.00,4.00,323.00,226.00,0.00,11.00,560.00,1457.00,1040.00,132.00,5.00,146.00,0.00,90.00,44.00,1457.00,966.00,100.00,230.00,0.00,145.00,0.00,3.00,13.00,9.06,0.34,10.02,0.00,6.18,3.02,15.79,71.38
