,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N)
0,0,0,320,33,216,254,50,66,227,37,1,1204,776,495,0101,1397,0.354330708661417,1,101,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.20326150262085,0.40768782760629,2.85381479324403,0.23296447291788,10.0757134536983,3.4944670937682,29.2952824694234,79.7320908561444,32.4985439720443,N,21.0963455149502,26.578073089701,17.9401993355482,18.8538205980066,N,Y,N
1,1,1,159,21,154,98,23,29,99,15,3,601,591,298,0102,1035,0.28792270531401,2,102,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.94543698696282,0.144857556735876,2.02800579430227,0,16.9483341380975,4.53887011105746,51.8107194591985,73.394495412844,54.7561564461613,N,16.30615640599,26.4559068219634,25.6239600665557,16.4725457570716,N,Y,N
2,2,2,408,60,289,305,85,97,249,63,9,1565,1279,711,0103,2379,0.298865069356873,3,103,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488832966342,0.314564328405159,7.17206668763762,0,15.5394778232149,5.66215791129286,41.3337527524379,62.5668449197861,50.0786410821013,N,19.4888178913738,26.0702875399361,18.4664536741214,15.9105431309904,N,Y,N
3,3,3,130,15,96,82,25,19,70,29,1,467,453,230,0104,798,0.288220551378446,4,104,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.02547770700637,0.636942675159236,2.01698513800425,0.0530785562632696,29.4585987261147,6.58174097664544,63.8535031847134,58.2271762208068,66.8789808917197,N,17.558886509636,27.8372591006424,20.5567451820129,14.9892933618844,Y,N,N
4,4,4,207,23,184,140,52,39,133,25,3,806,614,355,0105,1255,0.282868525896414,5,105,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.66620498614958,0.761772853185596,2.63157894736842,0.173130193905817,31.0249307479224,5.29778393351801,57.617728531856,57.4445983379501,60.2839335180055,N,17.3697270471464,25.682382133995,22.8287841191067,16.5012406947891,Y,N,N
5,5,5,160,23,109,109,35,30,129,18,6,619,633,313,0106,1171,0.267292912040991,6,106,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288392501,0.638213003589948,2.43318707618668,0.0398883127243718,29.8763462305545,4.54726765057838,58.9948145193458,59.3538093338652,62.1061029118468,N,17.6090468497577,25.8481421647819,17.6090468497577,20.8400646203554,N,Y,N
6,6,6,169,28,147,136,22,43,143,20,5,713,647,340,0107,1218,0.279146141215107,7,107,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.52261306532663,0.460636515912898,3.01507537688442,0,27.3031825795645,5.77889447236181,60.7621440536013,58.9195979899497,65.284757118928,N,19.0743338008415,23.7026647966339,20.617110799439,20.0561009817672,Y,N,N
7,7,7,213,29,198,153,56,43,189,36,13,930,978,477,0108,1708,0.279274004683841,8,108,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.10062026188835,0.62026188835286,6.58166781529979,0,24.9138525155065,5.20330806340455,57.5120606478291,58.5802894555479,61.6126809097174,N,16.4516129032258,22.9032258064516,21.2903225806452,20.3225806451613,N,Y,N
8,8,8,160,24,154,109,29,33,141,18,2,670,706,344,0109,1093,0.314730100640439,9,109,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.02013422818792,0.383509108341323,1.96548418024928,0,23.777564717162,4.36241610738255,58.2933844678811,66.4908916586769,61.313518696069,N,16.2686567164179,23.8805970149254,22.9850746268657,21.044776119403,N,Y,N
9,9,9,90,9,78,65,12,21,66,12,0,353,419,193,0110,742,0.26010781671159,10,110,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.3093447905478,0.429645542427497,3.43716433941998,0.0537056928034372,25.4027926960258,5.2094522019334,62.5671321160043,63.1578947368421,64.8764769065521,N,18.4135977337111,25.4957507082153,22.0963172804533,18.6968838526912,N,Y,N
