,Ward,Precinct_x,Winner,2nd,3rd,4th,Flaherty,St. Guillen,Wu,Mejia,Murphy,Garrison,Halbert,Essaibi-George,Total,Write-in,Wu Percentage,Ward_Precinct_Code,Black plurality (Y/N),Unnamed: 0_y,Precinct_y,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Turnout,White plurality (Y/N),Asian plurality (Y/N),Hispanic plurality (Y/N)
0,5,5,Wu,Flaherty,Essaibi-George,Garrison,100,41,147,23,27,46,22,86,497,5,29.5774647887324,0505,N,45,0505,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.590841949778434,0.147710487444609,3.10192023633678,0,0.147710487444609,2.06794682422452,2.51107828655835,93.9438700147711,0.217134416543575,Y,N,N
1,5,3,Wu,Essaibi-George,Flaherty,St. Guillen,193,127,294,59,46,70,65,218,1080,8,27.2222222222222,0503,N,43,0503,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.06780565936999,0,4.91190603310197,0,0.427122263747998,0.480512546716498,3.09663641217298,93.1126534970635,0.156967431927389,Y,N,N
2,5,6,Wu,Essaibi-George,Flaherty,St. Guillen,159,75,231,60,65,65,51,166,875,3,26.4,0506,N,46,0506,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.48101265822785,0.135623869801085,5.15370705244123,0,0.949367088607595,1.44665461121157,4.70162748643761,88.8336347197107,0.104430379746835,Y,N,N
3,3,8,Wu,St. Guillen,Flaherty,Essaibi-George,393,405,743,358,106,119,333,361,2833,15,26.2266148958701,0308,N,30,0308,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.82035545326685,0.0511443549418233,46.0043472701701,0.0511443549418233,1.31696713975195,1.91791331031837,4.93543025188595,45.8381281166091,0.0950006393044368,N,Y,N
4,21,6,Wu,Essaibi-George,Flaherty,St. Guillen,103,67,167,52,55,52,27,122,645,0,25.8914728682171,2106,N,231,2106,2860,2162,94,5,405,3,108,83,2860,2024,89,216,2,404,3,51,71,3.28671328671329,0.174825174825175,14.1608391608392,0.104895104895105,3.77622377622378,2.9020979020979,7.55244755244755,75.5944055944056,0.0583916083916084,Y,N,N
5,5,1,Wu,Essaibi-George,Flaherty,St. Guillen,368,320,619,262,97,105,227,389,2397,10,25.8239465999166,0501,N,41,0501,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.63893613731251,0.123704963661667,29.7046543992578,0.0154631204577084,1.59270140714396,1.88650069584042,4.45337869182001,62.038039276326,0.0957167156332148,Y,N,N
6,5,8,Wu,Essaibi-George,Flaherty,St. Guillen,160,102,241,65,47,74,45,192,936,10,25.7478632478632,0508,N,48,0508,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51450676982592,0.0386847195357834,8.27852998065764,0,1.31528046421663,2.74661508704062,4.83558994197292,85.1063829787234,0.0932301740812379,Y,N,N
7,5,11,Wu,Essaibi-George,Flaherty,St. Guillen,150,80,216,54,45,79,43,165,839,7,25.7449344457688,0511,N,51,0511,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.832072617246596,0,5.14372163388805,0,0.529500756429652,1.0590015128593,3.85779122541604,92.4357034795764,0.16338880484115,Y,N,N
8,4,2,Wu,Essaibi-George,Flaherty,St. Guillen,175,130,299,108,73,95,73,205,1166,8,25.6432246998285,0402,N,32,0402,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.0419026047565,0.226500566251416,13.2502831257078,0,1.52887882219706,2.01019252548131,6.00226500566251,71.9422423556059,0.0846545866364666,Y,N,N
9,5,7,Wu,Flaherty,Essaibi-George,St. Guillen,207,111,272,63,57,87,72,191,1064,4,25.5639097744361,0507,N,47,0507,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.05635948210206,0.0761614623000762,6.66412795125666,0.0380807311500381,0.99009900990099,1.71363290175171,4.7981721249048,88.4615384615385,0.103579588728104,Y,N,N
10,5,4,Wu,Essaibi-George,Flaherty,St. Guillen,171,104,252,61,60,83,64,190,988,3,25.5060728744939,0504,N,44,0504,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.59067357512953,0.074019245003701,5.66247224278312,0.0370096225018505,1.07327905255366,1.55440414507772,3.92301998519615,89.0081421169504,0.0932642487046632,Y,N,N
11,20,4,Wu,St. Guillen,Essaibi-George,Mejia,121,285,395,214,81,51,166,242,1556,1,25.3856041131105,2004,N,209,2004,1132,972,74,0,21,0,42,23,1132,941,69,85,0,21,0,3,13,6.53710247349823,0,1.85512367491166,0,3.71024734982332,2.03180212014134,7.50883392226149,85.8657243816254,0.348939929328622,Y,N,N
12,19,9,Wu,St. Guillen,Essaibi-George,Mejia,60,138,186,101,21,28,84,118,736,0,25.2717391304348,1909,N,201,1909,844,707,40,1,66,0,11,19,844,661,39,60,0,66,0,3,15,4.739336492891,0.118483412322275,7.81990521327014,0,1.30331753554502,2.25118483412322,7.10900473933649,83.7677725118483,0.220379146919431,Y,N,N
13,21,4,Wu,St. Guillen/Mejia,St. Guillen/Mejia,Essaibi-George,35,76,108,76,13,27,24,68,428,1,25.2336448598131,2104,N,229,2104,2966,1914,77,2,596,1,240,136,2966,1775,76,326,1,594,1,101,92,2.59608900876602,0.0674308833445718,20.0944032366824,0.0337154416722859,8.09170600134862,4.58530006743088,10.9912339851652,64.5313553607552,0.0364126770060688,Y,N,N
14,18,10,Wu,Essaibi-George,St. Guillen,Flaherty,234,272,482,212,127,114,154,311,1914,8,25.1828631138976,1810,N,179,1810,2337,1576,371,13,89,0,212,76,2337,1364,351,470,5,87,0,25,35,15.875053487377,0.556268720581943,3.80830124090715,0,9.07145913564399,3.2520325203252,20.1112537441164,67.4368848951647,0.206247325631151,Y,N,N
15,19,13,Wu,Essaibi-George,Mejia,St. Guillen,91,107,191,108,40,39,62,122,760,0,25.1315789473684,1913,N,205,1913,1850,792,581,10,42,5,321,99,1850,516,516,732,2,42,4,9,29,31.4054054054054,0.540540540540541,2.27027027027027,0.27027027027027,17.3513513513514,5.35135135135135,39.5675675675676,42.8108108108108,0.103243243243243,Y,N,N
16,21,15,Wu,Essaibi-George,St. Guillen,Mejia,58,80,142,75,31,36,46,97,566,1,25.0883392226148,2115,N,240,2115,1905,1545,54,6,236,2,32,30,1905,1488,53,87,4,235,2,11,25,2.83464566929134,0.31496062992126,12.3884514435696,0.10498687664042,1.67979002624672,1.5748031496063,4.56692913385827,81.1023622047244,0.0745406824146982,Y,N,N
17,11,10,Wu,St. Guillen,Mejia,Essaibi-George,75,219,275,186,25,40,102,177,1099,0,25.0227479526843,1110,N,101,1110,1462,1096,145,2,69,0,110,40,1462,998,122,238,1,68,0,13,22,9.91792065663475,0.136798905608755,4.71956224350205,0,7.52393980848153,2.7359781121751,16.2790697674419,74.9658002735978,0.188098495212038,Y,N,N
18,5,9,Wu,Essaibi-George,Flaherty,St. Guillen,198,123,273,76,67,81,61,209,1092,4,25,0509,N,49,0509,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.16439688715953,0.0729571984435798,12.4756809338521,0,1.28891050583658,1.99416342412451,6.3715953307393,82.0038910505837,0.0663910505836576,Y,N,N
19,18,9,Wu,Essaibi-George,St. Guillen,Flaherty,140,148,258,112,65,63,88,158,1034,2,24.9516441005803,1809,N,178,1809,1606,960,372,7,41,1,160,65,1606,847,345,318,6,40,1,18,31,23.1631382316314,0.435865504358655,2.55292652552926,0.062266500622665,9.9626400996264,4.04732254047323,19.8007471980075,59.7758405977584,0.160647571606476,Y,N,N
20,19,6,Wu,St. Guillen,Mejia,Essaibi-George,145,315,422,262,49,88,162,260,1705,2,24.7507331378299,1906,N,198,1906,1665,1390,123,8,69,0,33,42,1665,1319,110,125,6,69,0,6,30,7.38738738738739,0.48048048048048,4.14414414414414,0,1.98198198198198,2.52252252252252,7.50750750750751,83.4834834834835,0.253453453453453,Y,N,N
21,4,7,Wu,Flaherty,Essaibi-George,Mejia,92,65,146,81,30,45,41,90,590,0,24.7457627118644,0407,N,37,0407,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.0820150888294,0.243368216110976,18.1309321002677,0.0486736432221952,2.77439766366513,3.38281820394256,8.00681431005111,68.337795083962,0.0355317595522025,Y,N,N
22,11,8,Wu,St. Guillen,Mejia,Essaibi-George,92,270,349,232,39,63,162,211,1422,4,24.5428973277075,1108,N,99,1108,1733,1185,223,10,153,1,106,55,1733,1081,196,253,3,153,1,13,33,12.867859203693,0.577034045008656,8.82862088863243,0.0577034045008656,6.11656087709175,3.1736872475476,14.598961338719,68.3785343335257,0.201384881708021,Y,N,N
23,21,8,Wu,Essaibi-George,St.Guillen/Mejia,St.Guillen/Mejia,54,102,159,102,19,47,60,104,649,2,24.4992295839753,2108,N,233,2108,2811,2080,124,6,433,1,104,63,2811,1981,118,196,2,432,1,31,50,4.41124155104945,0.213447171824973,15.4037709000356,0.0355745286374956,3.69975097829954,2.24119530416222,6.97260761294913,73.9950195659907,0.0565635005336179,Y,N,N
24,21,3,Wu,St. Guillen,Essaibi-George,Mejia,29,53,75,43,12,18,23,52,307,2,24.4299674267101,2103,N,228,2103,3700,2379,137,6,956,1,101,120,3700,2212,127,256,5,946,1,46,107,3.7027027027027,0.162162162162162,25.8378378378378,0.027027027027027,2.72972972972973,3.24324324324324,6.91891891891892,64.2972972972973,0.0202702702702703,Y,N,N
25,3,2,Wu,Flaherty,Essaibi-George,St. Guillen,82,44,102,31,31,37,21,71,419,0,24.3436754176611,0302,N,24,0302,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.07181136120043,0.0535905680600214,2.35798499464094,0.0535905680600214,1.07181136120043,0.482315112540193,3.80493033226152,94.908896034298,0.0546623794212219,Y,N,N
26,3,6,Wu,Essaibi-George,Flaherty,St. Guillen,224,156,335,97,102,108,107,235,1377,13,24.3282498184459,0306,N,28,0306,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.5784477945282,0.204727340405732,8.46826726223711,0.0558347292015634,1.47031453564117,1.76809975804951,5.285687697748,83.4543085799367,0.0623487809417458,Y,N,N
27,19,7,Wu,St. Guillen,Essaibi-George,Mejia,115,283,343,223,41,44,132,238,1420,1,24.1549295774648,1907,N,199,1907,1717,1105,211,8,136,0,184,73,1717,941,198,388,2,136,0,11,41,12.2888759464182,0.46592894583576,7.92079207920792,0,10.7163657542225,4.25160163075131,22.5975538730344,64.3564356435644,0.199767035527082,Y,N,N
28,4,3,Wu,Essaibi-George,Flaherty,St. Guillen,112,86,168,69,44,44,42,130,697,2,24.103299856528,0403,N,33,0403,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.7816005983545,0.149588631264024,6.05833956619297,0,2.01944652206432,2.31862378459237,6.95587135377711,73.6724008975318,0.12565445026178,Y,N,N
