,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
0,46,2,36,76,0,0,160,3,163,46.62576687,28.2208589,0102,1035,0.1574879227,2,0102,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.945436987,0.1448575567,2.028005794,0,16.94833414,4.538870111,51.81071946,73.39449541,25.6705314
1,98,4,41,278,0,5,426,11,437,63.61556064,22.42562929,0103,2379,0.1836906263,3,0103,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488833,0.3145643284,7.172066688,0,15.53947782,5.662157911,41.33375275,62.56684492,80.2728037
2,31,1,13,95,0,0,140,2,142,66.90140845,21.83098592,0104,798,0.1779448622,4,0104,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.025477707,0.6369426752,2.016985138,0.05307855626,29.45859873,6.581740977,63.85350318,58.22717622,25.26817043
3,28,2,18,128,0,2,178,2,180,71.11111111,15.55555556,0105,1255,0.1434262948,5,0105,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.666204986,0.7617728532,2.631578947,0.1731301939,31.02493075,5.297783934,57.61772853,57.44459834,25.81673307
4,42,2,26,123,0,0,193,7,200,61.5,21,0106,1171,0.170794193,6,0106,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288393,0.6382130036,2.433187076,0.03988831272,29.87634623,4.547267651,58.99481452,59.35380933,34.1588386
5,35,5,25,138,0,2,205,9,214,64.48598131,16.35514019,0107,1218,0.1756978654,7,0107,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.522613065,0.4606365159,3.015075377,0,27.30318258,5.778894472,60.76214405,58.91959799,37.59934319
6,50,5,26,190,0,2,273,8,281,67.61565836,17.79359431,0108,1708,0.1645199063,8,0108,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.100620262,0.6202618884,6.581667815,0,24.91385252,5.203308063,57.51206065,58.58028946,46.23009368
7,35,2,33,134,0,2,206,2,208,64.42307692,16.82692308,0109,1093,0.1903019213,9,0109,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.020134228,0.3835091083,1.96548418,0,23.77756472,4.362416107,58.29338447,66.49089166,39.58279963
8,13,0,16,80,0,0,109,4,113,70.79646018,11.50442478,0110,742,0.1522911051,10,0110,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.309344791,0.4296455424,3.437164339,0.0537056928,25.4027927,5.209452202,62.56713212,63.15789474,17.20889488
9,43,8,86,224,0,0,361,6,367,61.03542234,11.71662125,0111,1425,0.2575438596,11,0111,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.902277737,0.4775900073,3.19617928,0.07347538575,12.3806025,2.314474651,33.90889052,78.65540044,94.51859649
10,38,6,86,212,0,1,343,3,346,61.2716763,10.98265896,0112,1365,0.2534798535,12,0112,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.800327332,0.545553737,2.673213312,0,9.547190398,2.727768685,25.96835788,82.70594654,87.7040293
11,55,3,71,229,0,3,361,12,373,61.39410188,14.74530831,0113,1916,0.1946764092,13,0113,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.612804878,0.381097561,3.772865854,0,14.93902439,4.00152439,41.88262195,68.29268293,72.61430063
12,34,1,43,110,0,0,188,3,191,57.59162304,17.80104712,0114,960,0.1989583333,14,0114,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.56097561,0.1219512195,4.512195122,0.1219512195,3.536585366,1.707317073,17.68292683,87.43902439,38.00104167
13,72,2,44,309,0,0,427,11,438,70.54794521,16.43835616,0201,2209,0.1982797646,16,0201,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.650887574,0,3.017751479,0.05917159763,0.8875739645,0.3550295858,2.130177515,95.0295858,86.84653689
14,64,12,36,348,1,1,462,16,478,72.80334728,13.38912134,0202,2985,0.1601340034,17,0202,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.87621098,0.2960172228,16.20021529,0.1883745963,5.920344456,2.341227126,14.53175457,65.17761033,76.5440536
15,73,6,34,204,0,2,319,8,327,62.3853211,22.32415902,0203,1470,0.2224489796,18,0203,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.4237288136,0.181598063,1.452784504,0,0.3631961259,1.089588378,1.634382567,96.48910412,72.74081633
16,43,4,30,222,0,0,299,9,308,72.07792208,13.96103896,0204,1498,0.2056074766,19,0204,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.059711736,0.3431708991,10.02059025,0,6.177076184,3.019903912,15.78586136,71.37954701,63.3271028
17,46,3,35,208,0,0,292,10,302,68.87417219,15.23178808,0205,1580,0.1911392405,20,0205,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.3745318352,0,1.373283396,0.06242197253,0.1872659176,0.5617977528,1.123595506,97.44069913,57.72405063
18,68,9,73,354,0,2,506,13,519,68.20809249,13.10211946,0206,2022,0.2566765579,21,0206,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.755926251,0.1316944688,7.067603161,0.04389815628,1.273046532,1.316944688,4.12642669,88.41088674,133.2151335
19,43,8,38,248,0,3,340,10,350,70.85714286,12.28571429,0207,1567,0.2233567326,22,0207,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317145,0,4.635761589,0,0.3679175865,0.6622516556,2.060338484,92.42089772,78.17485641
20,107,8,95,449,0,3,662,20,682,65.83577713,15.68914956,0301,3033,0.2248598747,23,0301,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.226613307,0.20010005,3.426713357,0,1.250625313,1.375687844,3.901950975,90.52026013,153.3544346
21,48,4,42,152,0,1,247,8,255,59.60784314,18.82352941,0302,1625,0.1569230769,24,0302,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.071811361,0.05359056806,2.357984995,0.05359056806,1.071811361,0.4823151125,3.804930332,94.90889603,40.01538462
22,42,2,41,197,0,0,282,8,290,67.93103448,14.48275862,0303,1807,0.160486995,25,0303,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.550381033,0.2540220152,2.878916173,0,0.8044030483,0.9314140559,3.132938188,94.58086367,46.54122856
